Item Purchased,Category,Count
Blouse,Clothing,171
Pants,Clothing,171
Jewelry,Accessories,171
Shirt,Clothing,169
Dress,Clothing,166
Sweater,Clothing,164
Jacket,Outerwear,163
Belt,Accessories,161
Coat,Outerwear,161
Sunglasses,Accessories,161
Sandals,Footwear,160
Socks,Clothing,159
Skirt,Clothing,158
Scarf,Accessories,157
Shorts,Clothing,157
Hat,Accessories,154
Handbag,Accessories,153
Hoodie,Clothing,151
Shoes,Footwear,150
T-shirt,Clothing,147
Sneakers,Footwear,145
Boots,Footwear,144
Backpack,Accessories,143
Gloves,Accessories,140
Jeans,Clothing,124
